               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08151,             0.12914,            0.028466,             0.49377,             0.25289,             0.23901,             0.10462,             0.05815,            0.094071,            0.015897,            0.070026,           0.0033305,           0.0033305
                   1,            0.058332,              0.1202,            0.012972,             0.63238,             0.42281,             0.40237,              0.1952,            0.049376,            0.089281,           0.0095024,            0.039806,           0.0064439,           0.0064439
                   2,            0.052856,             0.11846,           0.0093755,             0.70068,             0.46278,              0.5778,             0.30653,            0.045482,            0.090256,            0.007852,           0.0093659,           0.0093373,           0.0093373
                   3,            0.047665,             0.11796,           0.0079134,             0.65646,             0.65876,             0.65239,             0.36543,            0.043619,            0.086995,           0.0063734,             0.00901,             0.00901,             0.00901
                   4,            0.044707,             0.11706,           0.0068302,             0.67239,             0.69726,             0.69233,             0.41432,            0.040254,            0.086473,           0.0056382,             0.00901,             0.00901,             0.00901
                   5,             0.04191,             0.11503,           0.0060536,             0.65173,             0.65628,             0.65162,             0.38768,            0.040695,            0.088272,           0.0060609,             0.00868,             0.00868,             0.00868
                   6,            0.040655,             0.11318,           0.0056322,             0.72619,             0.71456,             0.72945,             0.44804,            0.037773,            0.083868,           0.0046083,             0.00835,             0.00835,             0.00835
                   7,            0.039566,             0.11166,            0.005274,             0.69687,             0.73865,             0.74004,             0.45033,            0.037258,            0.082965,           0.0046291,             0.00802,             0.00802,             0.00802
                   8,            0.038289,             0.11139,           0.0048795,             0.75383,              0.7277,             0.75528,             0.46864,            0.035924,            0.082812,           0.0044182,             0.00769,             0.00769,             0.00769
                   9,            0.037528,             0.11049,           0.0047121,             0.72995,             0.72356,             0.74182,             0.45043,            0.037291,            0.083475,           0.0046621,             0.00736,             0.00736,             0.00736
                  10,            0.036694,             0.10949,           0.0045939,             0.73487,             0.75038,             0.76303,              0.4818,            0.035335,            0.080846,           0.0040547,             0.00703,             0.00703,             0.00703
                  11,            0.035826,             0.10862,           0.0045206,             0.73941,             0.74906,             0.76257,             0.48492,            0.035023,            0.081513,           0.0041027,              0.0067,              0.0067,              0.0067
                  12,            0.035315,             0.10688,           0.0041394,             0.75456,             0.75726,             0.76692,              0.4936,            0.034274,            0.080703,           0.0038225,             0.00637,             0.00637,             0.00637
                  13,            0.034706,             0.10634,           0.0039828,             0.75562,             0.74956,             0.77281,             0.49567,            0.034933,            0.080955,           0.0041793,             0.00604,             0.00604,             0.00604
                  14,            0.034064,               0.106,           0.0038818,             0.74954,             0.76767,             0.77301,             0.49485,            0.033985,            0.079182,           0.0038561,             0.00571,             0.00571,             0.00571
                  15,            0.033775,              0.1053,           0.0038727,             0.75315,             0.77773,             0.78353,             0.50558,            0.033476,            0.079285,           0.0036753,             0.00538,             0.00538,             0.00538
                  16,            0.033274,             0.10263,           0.0036335,             0.76613,             0.76346,             0.78561,             0.50638,            0.033607,            0.080029,           0.0038414,             0.00505,             0.00505,             0.00505
                  17,            0.032669,             0.10273,           0.0035217,             0.76812,             0.76813,             0.79458,             0.52369,            0.032671,            0.077682,           0.0034968,             0.00472,             0.00472,             0.00472
                  18,            0.032312,             0.10144,           0.0035178,             0.78016,             0.77158,              0.7978,             0.52589,            0.032555,            0.077429,           0.0035265,             0.00439,             0.00439,             0.00439
                  19,            0.031666,             0.09999,           0.0033647,             0.77861,             0.78335,             0.80267,             0.53493,            0.032245,            0.077524,           0.0033361,             0.00406,             0.00406,             0.00406
                  20,            0.031304,             0.10167,            0.003467,             0.77337,             0.77832,             0.80087,             0.52677,            0.031935,            0.076804,           0.0033834,             0.00373,             0.00373,             0.00373
                  21,            0.030969,             0.09924,           0.0031711,             0.77981,             0.77394,             0.80244,             0.53597,             0.03187,            0.076845,           0.0035475,              0.0034,              0.0034,              0.0034
                  22,            0.030562,            0.097958,           0.0032596,             0.76809,             0.79479,             0.81214,             0.54539,            0.031506,            0.076099,           0.0033168,             0.00307,             0.00307,             0.00307
                  23,            0.030161,            0.098206,            0.003068,              0.7812,             0.79085,             0.81251,             0.54677,             0.03128,            0.075854,           0.0033058,             0.00274,             0.00274,             0.00274
                  24,            0.029895,            0.097866,           0.0031553,             0.78865,             0.79377,             0.80983,             0.55199,            0.031127,            0.076184,           0.0032645,             0.00241,             0.00241,             0.00241
                  25,            0.029421,            0.096268,           0.0030278,             0.79048,             0.80339,             0.82029,             0.56145,            0.030907,            0.075432,           0.0032169,             0.00208,             0.00208,             0.00208
                  26,            0.029147,            0.095729,           0.0029879,             0.79294,             0.79903,             0.82033,             0.56176,            0.030736,            0.074693,           0.0032272,             0.00175,             0.00175,             0.00175
                  27,            0.029027,            0.093659,           0.0028328,             0.80242,             0.79055,             0.82306,             0.55929,            0.030696,            0.074435,           0.0033358,             0.00142,             0.00142,             0.00142
                  28,            0.028887,            0.094358,           0.0028706,             0.80216,             0.79289,             0.82461,             0.56158,            0.030503,            0.074291,           0.0031899,             0.00109,             0.00109,             0.00109
                  29,            0.028415,            0.094642,            0.002695,             0.80862,             0.79957,             0.82488,             0.56747,            0.030265,             0.07408,           0.0031883,             0.00076,             0.00076,             0.00076
